id,facenet_id_res,facenet_prob_res,openface_id_res,openface_prob_res,Pred_Result_id,Pred_Result_prob,Actual Result,Update Result
1,andy,0.09,b15,0.13,b15,0.13,b15,o-f<0.63
2,b13,0.12,b13,0.12,b13,0.12,b13,o-f<0.63
3,b24,0.1,b16,0.23,b16,0.23,b24,o-f<0.63
4,b15,0.2,b15,0.49,b15,0.49,b15,c = f<o
5,b23,0.25,b23,0.19,b23,0.19,b23,c = f>o
6,b15,0.18,b15,0.27,b15,0.27,b15,c = f<o
7,b11,0.16,b11,0.27,b11,0.27,b11,c = f<o
8,b17,0.12,b17,0.29,b17,0.29,b17,c = f<o
9,b23,0.09,b18,0.26,b18,0.26,b12,c = f<o
10,b23,0.08,b26,0.14,b26,0.14,b22,o-f<0.63
11,b23,0.21,b23,0.43,b23,0.43,b23,c = f<o
12,b11,0.14,b26,0.16,b26,0.16,b11,o-f<0.63
13,b19,0.1,b19,0.3,b19,0.3,b19,c = f<o
14,trump,0.21,b16,0.11,b16,0.11,trump,o-f<0.63
15,trump,0.11,b25,0.18,b25,0.18,b25,o-f<0.63
16,b25,0.12,b12,0.25,b12,0.25,b25,c = f<o
17,b25,0.09,b25,0.2,b25,0.2,b12,o-f<0.63
18,b15,0.18,b15,0.14,b15,0.14,b15,o-f<0.63
19,b25,0.15,b25,0.32,b25,0.32,b25,c = f<o
20,trump,0.17,trump,0.36,trump,0.36,trump,c = f<o
21,b26,0.11,b15,0.12,b15,0.12,b26,o-f<0.63
22,b17,0.13,b17,0.44,b17,0.44,b17,c = f<o
23,b23,0.23,b23,0.33,b23,0.33,b23,c = f<o
24,b27,0.21,b27,0.44,b27,0.44,b27,c = f<o
25,b18,0.11,b18,0.13,b18,0.13,b24,o-f<0.63
26,b18,0.16,b20,0.17,b20,0.17,b18,o-f<0.63
27,b21,0.23,b21,0.43,b21,0.43,b21,c = f<o
28,b13,0.14,b13,0.19,b13,0.19,b13,o-f<0.63
29,lan,0.11,lan,0.28,lan,0.28,lan,c = f<o
30,b23,0.23,b23,0.19,b23,0.19,b23,o-f<0.63
31,b21,0.17,b21,0.33,b21,0.33,b21,c = f<o
32,andy,0.1,b15,0.18,b15,0.18,b15,o-f<0.63
33,b13,0.18,b13,0.4,b13,0.4,b13,c = f<o
34,b24,0.11,b18,0.17,b18,0.17,b24,o-f<0.63
35,b17,0.08,b18,0.38,b18,0.38,b17,c = f<o
36,b19,0.15,b11,0.19,b11,0.19,b19,o-f<0.63
37,b23,0.25,b23,0.39,b23,0.39,b23,c= o-f>0.63
38,b17,0.18,b17,0.38,b17,0.38,b17,c = f<o
39,b23,0.1,b18,0.18,b18,0.18,b17,o-f<0.63
40,b22,0.18,b22,0.29,b22,0.29,b22,c = f<o
41,b23,0.1,b19,0.16,b19,0.16,b17,o-f<0.63
42,zj,0.3,zj,0.27,zj,0.27,zj,c= o-f>0.63
43,b19,0.17,b19,0.15,b19,0.15,b19,o-f<0.63
44,b23,0.1,b19,0.21,b19,0.21,b17,o-f<0.63
45,lan,0.15,b26,0.2,b26,0.2,lan,o-f<0.63
46,b22,0.12,b22,0.2,b22,0.2,b22,o-f<0.63
47,b12,0.16,b12,0.44,b12,0.44,b12,c = f<o
48,b11,0.16,b11,0.31,b11,0.31,b11,c = f<o
49,b26,0.15,b26,0.35,b26,0.35,b26,c = f<o
50,b19,0.18,b19,0.36,b19,0.36,b19,c = f<o
51,b13,0.2,b13,0.49,b13,0.49,b13,c = f<o
52,b19,0.11,b19,0.13,b19,0.13,b20,o-f<0.63
53,b18,0.11,b25,0.23,b25,0.23,b25,o-f<0.63
54,zj,0.15,zj,0.31,zj,0.31,zj,c = f<o
55,trump,0.12,trump,0.33,trump,0.33,trump,c = f<o
56,b18,0.18,b18,0.37,b18,0.37,b18,c = f<o
57,b16,0.15,b16,0.27,b16,0.27,b16,c = f<o
58,b16,0.15,b18,0.19,b18,0.19,b16,o-f<0.63
59,b26,0.13,b23,0.21,b23,0.21,b26,o-f<0.63
60,b19,0.13,b19,0.26,b19,0.26,b19,c = f<o
61,b25,0.15,b25,0.27,b25,0.27,b25,c = f<o
62,b22,0.21,b22,0.39,b22,0.39,b22,c = f<o
63,b26,0.11,b18,0.22,b18,0.22,b26,o-f<0.63
64,b18,0.08,b19,0.26,b19,0.26,b24,c = f<o
65,b24,0.18,b24,0.46,b24,0.46,b24,c = f<o
66,b24,0.17,b24,0.4,b24,0.4,b24,c = f<o
67,b24,0.14,b17,0.16,b17,0.16,b24,o-f<0.63
68,b24,0.12,b24,0.14,b24,0.14,b24,o-f<0.63
69,b24,0.13,b15,0.18,b15,0.18,b24,o-f<0.63
70,b25,0.21,b25,0.47,b25,0.47,b25,c = f<o
71,b15,0.21,b15,0.48,b15,0.48,b15,c = f<o
72,zj,0.26,zj,0.14,zj,0.14,zj,c = f>o
73,b22,0.14,b22,0.2,b22,0.2,b22,o-f<0.63
74,lan,0.35,lan,0.19,lan,0.19,lan,c = f>o
75,lan,0.2,b26,0.17,b26,0.17,lan,o-f<0.63
76,zj,0.26,zj,0.23,zj,0.23,zj,c = f>o
77,b17,0.2,b17,0.48,b17,0.48,b17,c = f<o
78,b16,0.12,b26,0.13,b26,0.13,b16,o-f<0.63
79,b22,0.17,b22,0.38,b22,0.38,b22,c = f<o
80,b23,0.19,b23,0.29,b23,0.29,b23,c = f<o
81,b23,0.11,b17,0.4,b17,0.4,b17,c = f<o
82,b25,0.15,b25,0.19,b25,0.19,b25,o-f<0.63
83,b16,0.22,b16,0.35,b16,0.35,b16,c = f<o
84,b26,0.16,b26,0.37,b26,0.37,b26,c = f<o
85,b16,0.18,b16,0.21,b16,0.21,b16,o-f<0.63
86,zj,0.22,zj,0.26,zj,0.26,zj,c = f<o
87,b23,0.23,b23,0.34,b23,0.34,b23,c = f<o
88,zj,0.11,zj,0.25,zj,0.25,zj,c = f<o
89,andy,0.24,b26,0.13,b26,0.13,andy,o-f<0.63
90,b24,0.19,b24,0.32,b24,0.32,b24,c = f<o
91,zj,0.13,b15,0.15,b15,0.15,zj,o-f<0.63
92,zj,0.12,b27,0.24,b27,0.24,b27,o-f<0.63
93,b16,0.19,b16,0.18,b16,0.18,b16,o-f<0.63
94,b19,0.09,b16,0.18,b16,0.18,b20,o-f<0.63
95,b11,0.19,b11,0.44,b11,0.44,b11,c = f<o
96,b16,0.2,b16,0.24,b16,0.24,b16,o-f<0.63
97,b19,0.15,b19,0.43,b19,0.43,b19,c = f<o
98,b25,0.16,b25,0.26,b25,0.26,b25,c = f<o
99,b21,0.1,b18,0.12,b18,0.12,b21,o-f<0.63
100,b18,0.13,b25,0.24,b25,0.24,b25,o-f<0.63
101,b23,0.09,b19,0.13,b19,0.13,b17,o-f<0.63
102,b18,0.16,b18,0.35,b18,0.35,b18,c = f<o
103,b20,0.12,b20,0.13,b20,0.13,b20,o-f<0.63
104,b23,0.08,b24,0.11,b24,0.11,b17,o-f<0.63
105,b18,0.09,b18,0.12,b18,0.12,b18,o-f<0.63
106,b16,0.23,b16,0.43,b16,0.43,b16,c = f<o
107,b22,0.11,b22,0.24,b22,0.24,b22,o-f<0.63
108,b19,0.14,b18,0.17,b18,0.17,b19,o-f<0.63
109,b12,0.17,b12,0.42,b12,0.42,b12,c = f<o
110,trump,0.22,trump,0.12,trump,0.12,trump,o-f<0.63
111,b17,0.14,b18,0.26,b18,0.26,b17,c = f<o
112,b22,0.16,b22,0.37,b22,0.37,b22,c = f<o
113,b23,0.24,b23,0.26,b23,0.26,b23,c = f<o
114,b11,0.17,b11,0.43,b11,0.43,b11,c = f<o
115,b21,0.11,b19,0.16,b19,0.16,b21,o-f<0.63
116,trump,0.26,trump,0.4,trump,0.4,trump,c= o-f>0.63
117,lan,0.24,lan,0.21,lan,0.21,lan,o-f<0.63
118,b22,0.19,b22,0.27,b22,0.27,b22,c = f<o
119,b11,0.2,b11,0.49,b11,0.49,b11,c = f<o
120,b26,0.12,b17,0.2,b17,0.2,b26,o-f<0.63
121,b12,0.13,b18,0.14,b18,0.14,b12,o-f<0.63
122,b12,0.15,b17,0.18,b17,0.18,b12,o-f<0.63
123,b23,0.26,b23,0.24,b23,0.24,b23,c = f>o
124,b23,0.12,b18,0.15,b18,0.15,b26,o-f<0.63
125,b26,0.13,b19,0.17,b19,0.17,b26,o-f<0.63
126,lan,0.14,lan,0.18,lan,0.18,zj,o-f<0.63
127,b20,0.11,b20,0.22,b20,0.22,b20,o-f<0.63
128,trump,0.29,trump,0.45,trump,0.45,trump,c= o-f>0.63
129,b11,0.17,b17,0.21,b17,0.21,b11,o-f<0.63
130,b15,0.21,b15,0.41,b15,0.41,b15,c = f<o
131,b11,0.2,b11,0.47,b11,0.47,b11,c = f<o
132,b18,0.18,b18,0.3,b18,0.3,b18,c = f<o
133,b25,0.15,b18,0.22,b18,0.22,b25,o-f<0.63
134,b20,0.14,b20,0.34,b20,0.34,b20,c = f<o
135,b11,0.17,b11,0.45,b11,0.45,b11,c = f<o
136,andy,0.13,b24,0.19,b24,0.19,b15,o-f<0.63
137,b22,0.2,b22,0.48,b22,0.48,b22,c = f<o
138,b23,0.09,b18,0.14,b18,0.14,b23,o-f<0.63
139,b20,0.12,b20,0.13,b20,0.13,b20,o-f<0.63
140,b27,0.12,b27,0.16,b27,0.16,b27,o-f<0.63
141,b17,0.13,b18,0.3,b18,0.3,b17,c = f<o
142,b18,0.11,b18,0.39,b18,0.39,b18,c = f<o
143,b12,0.15,b12,0.41,b12,0.41,b12,c = f<o
144,b11,0.13,b11,0.26,b11,0.26,b11,c = f<o
145,andy,0.15,b24,0.12,b24,0.12,b13,o-f<0.63
146,b20,0.14,b20,0.36,b20,0.36,b20,c = f<o
147,b17,0.15,b17,0.45,b17,0.45,b17,c = f<o
148,b25,0.17,b25,0.27,b25,0.27,b25,c = f<o
149,b12,0.09,b19,0.19,b19,0.19,b12,o-f<0.63
150,zj,0.19,zj,0.27,zj,0.27,zj,c = f<o
151,andy,0.15,b13,0.35,b13,0.35,b13,c = f<o
152,zj,0.27,zj,0.29,zj,0.29,zj,c= o-f>0.63
153,trump,0.19,trump,0.24,trump,0.24,trump,o-f<0.63
154,b19,0.11,b19,0.14,b19,0.14,b20,o-f<0.63
155,b27,0.15,zj,0.13,zj,0.13,b27,o-f<0.63
156,b25,0.11,b25,0.22,b25,0.22,b25,o-f<0.63
157,b16,0.17,b16,0.15,b16,0.15,b16,o-f<0.63
158,b18,0.2,b18,0.43,b18,0.43,b18,c = f<o
